run,t_stat,p_value,cohens_d,fixed_mean_ns,varied_mean_ns,fixed_std_ns,varied_std_ns,significant,negligible
4796,0.294753,0.76818598,0.004168,294871.33,294863.22,2278.98,1539.31,no,yes
4797,0.118096,0.90599242,0.001670,363877.63,363875.21,1572.53,1315.98,no,yes
4798,-1.544000,0.12260522,-0.021835,307351.12,307376.49,1003.53,1301.53,no,yes
4799,-0.777776,0.43671157,-0.010999,294744.72,294765.98,1546.48,2253.17,no,yes
4800,-1.304169,0.19219505,-0.018444,294856.06,294879.58,880.57,1573.59,no,yes
4801,-0.834409,0.40406308,-0.011800,294896.81,294924.62,1677.27,2880.55,no,yes
4802,0.521099,0.60230363,0.007369,294850.65,294842.67,1080.12,1085.03,no,yes
4803,-0.088332,0.92961333,-0.001249,294792.24,294795.51,2763.12,2461.57,no,yes
4804,0.022461,0.98208022,0.000318,294870.10,294869.78,1075.44,949.28,no,yes
4805,0.204477,0.83798258,0.002892,303882.77,303872.61,3685.37,3335.00,no,yes
4806,-0.118657,0.90554796,-0.001678,294799.18,294800.93,965.44,1105.88,no,yes
4807,0.151787,0.87935688,0.002147,294869.89,294865.84,2006.66,1757.51,no,yes
4808,0.877522,0.38021411,0.012410,294805.39,294793.10,1092.17,876.07,no,yes
4809,-0.614583,0.53883763,-0.008692,294782.80,294801.24,2416.00,1779.09,no,yes
4810,0.517339,0.60492594,0.007316,294928.62,294914.61,2207.36,1568.92,no,yes
4811,-0.687464,0.49179840,-0.009722,303092.11,303149.96,5697.95,6191.39,no,yes
4812,-0.542108,0.58775008,-0.007667,393190.21,393202.19,1592.20,1534.90,no,yes
4813,0.883013,0.37724069,0.012488,294977.38,294963.28,1277.91,957.06,no,yes
4814,0.007626,0.99391554,0.000108,295205.09,295204.68,3662.53,3912.62,no,yes
4815,0.467614,0.64006575,0.006613,295094.82,295084.79,1307.39,1698.03,no,yes
4816,-0.627192,0.53054226,-0.008870,294930.44,294966.06,2891.25,4889.04,no,yes
4817,0.240687,0.80980024,0.003404,295108.42,295097.23,3435.35,3127.57,no,yes
4818,-1.015776,0.30974880,-0.014365,294739.28,294754.26,916.00,1156.32,no,yes
4819,-0.689048,0.49080114,-0.009745,295188.34,295198.21,935.61,1085.44,no,yes
4820,-0.352976,0.72411046,-0.004992,294814.88,294825.56,2191.28,2083.18,no,yes
4821,-0.305528,0.75996710,-0.004321,295108.57,295113.35,1060.09,1150.78,no,yes
4822,-0.266504,0.78985388,-0.003769,296071.39,296074.73,877.91,895.87,no,yes
4823,-0.371911,0.70996315,-0.005260,294903.24,294908.19,932.52,951.70,no,yes
4824,-0.048131,0.96161214,-0.000681,294914.37,294915.02,982.32,918.84,no,yes
4825,0.058978,0.95297033,0.000834,295004.56,294999.31,6442.29,6144.95,no,yes
4826,0.366514,0.71398545,0.005183,295107.97,295086.93,4051.17,4065.94,no,yes
4827,-0.123223,0.90193202,-0.001743,294916.82,294919.73,1647.34,1690.89,no,yes
4828,0.383140,0.70162018,0.005418,294843.91,294839.48,781.61,850.16,no,yes
4829,-0.066759,0.94677412,-0.000944,294895.91,294897.52,1539.94,1853.25,no,yes
4830,-0.337781,0.73553146,-0.004777,294863.79,294874.74,2415.94,2163.51,no,yes
4831,-0.598421,0.54956576,-0.008463,294918.65,294952.75,3763.71,4277.73,no,yes
4832,-1.120297,0.26260241,-0.015843,294825.78,294854.34,1445.64,2099.25,no,yes
4833,-0.153451,0.87804443,-0.002170,295077.70,295082.26,2005.70,2186.22,no,yes
4834,0.293115,0.76943720,0.004145,295096.42,295091.82,1037.35,1178.43,no,yes
4835,-0.034833,0.97221361,-0.000493,295104.72,295106.93,4231.73,4727.63,no,yes
4836,0.117675,0.90632673,0.001664,294931.96,294929.33,1637.60,1522.60,no,yes
4837,-1.025091,0.30533311,-0.014497,295238.97,295278.87,2433.01,3039.24,no,yes
4838,-0.255702,0.79818395,-0.003616,294979.12,294984.58,1497.94,1519.33,no,yes
4839,0.190770,0.84870782,0.002698,295103.36,295100.00,1239.28,1251.30,no,yes
4840,0.188174,0.85074180,0.002661,295103.08,295099.31,1429.88,1401.80,no,yes
4841,0.110632,0.91190930,0.001565,294782.21,294778.81,2041.50,2302.77,no,yes
4842,-0.821240,0.41151978,-0.011614,294890.53,294911.46,1969.24,1617.66,no,yes
4843,0.025738,0.97946695,0.000364,295096.78,295096.34,1284.58,1090.59,no,yes
4844,0.163473,0.87014760,0.002312,295102.08,295100.02,964.15,810.17,no,yes
4845,-1.749902,0.08015093,-0.024747,295002.25,295030.55,1041.75,1237.25,no,yes
4846,1.328912,0.18389259,0.018794,294730.93,294712.52,1054.73,897.21,no,yes
4847,-1.600778,0.10944219,-0.022638,295051.06,295073.44,912.04,1060.27,no,yes
4848,-0.467441,0.64019009,-0.006611,294996.47,295016.62,2590.76,3446.97,no,yes
4849,-0.423600,0.67186256,-0.005991,294861.41,294867.26,1044.32,901.79,no,yes
4850,-0.383606,0.70127493,-0.005425,295084.41,295094.63,1779.18,1985.56,no,yes
4851,0.170876,0.86432313,0.002417,294870.78,294866.26,1946.58,1790.10,no,yes
4852,0.434368,0.66402629,0.006143,295012.96,295006.70,1069.80,963.05,no,yes
4853,-0.288464,0.77299441,-0.004080,295120.01,295125.86,1402.94,1465.36,no,yes
4854,-0.004710,0.99624229,-0.000067,295068.81,295069.01,3095.38,2891.72,no,yes
4855,0.288323,0.77310255,0.004078,295040.80,295036.71,1105.29,888.11,no,yes
4856,-0.547864,0.58379119,-0.007748,294910.00,294917.07,866.91,956.28,no,yes
4857,-0.417884,0.67603668,-0.005910,294835.14,294840.27,872.19,861.99,no,yes
4858,0.051346,0.95905069,0.000726,294883.56,294882.29,2064.69,1366.55,no,yes
4859,-1.323376,0.18572763,-0.018715,310250.98,310285.57,1451.88,2173.64,no,yes
4860,-0.307748,0.75827751,-0.004352,294941.42,294947.13,1143.98,1459.87,no,yes
4861,0.659488,0.50959032,0.009327,295047.67,295025.84,2604.00,2043.88,no,yes
4862,-0.199110,0.84217848,-0.002816,295050.05,295055.56,1777.69,2117.79,no,yes
4863,-0.067475,0.94620440,-0.000954,295234.70,295240.72,6283.16,6317.64,no,yes
4864,-0.173560,0.86221325,-0.002455,295012.60,295018.55,2301.87,2540.32,no,yes
4865,-0.861227,0.38912309,-0.012180,294895.80,294909.74,1129.14,1160.56,no,yes
4866,0.107091,0.91471787,0.001514,294848.55,294845.36,2247.39,1941.40,no,yes
4867,-0.133551,0.89375927,-0.001889,295162.62,295170.07,4045.58,3846.92,no,yes
4868,0.575931,0.56466899,0.008145,294998.01,294989.89,1113.78,863.75,no,yes
4869,-0.753108,0.45139433,-0.010651,294944.65,294955.57,938.67,1104.71,no,yes
4870,-0.135925,0.89188212,-0.001922,294896.34,294901.28,2330.88,2793.17,no,yes
4871,-0.282108,0.77786401,-0.003990,294993.83,295002.51,1587.81,2637.67,no,yes
4872,0.178824,0.85807809,0.002529,294936.76,294934.39,994.93,882.06,no,yes
4873,0.219871,0.82597382,0.003109,294975.55,294963.69,3700.28,3925.09,no,yes
4874,-0.289252,0.77239149,-0.004091,295111.70,295115.54,887.12,984.34,no,yes
4875,-1.019167,0.30813617,-0.014413,294828.94,294858.42,1937.92,2148.12,no,yes
