run,type,time_ns
371,fixed,292734
371,random,294072
372,fixed,293135
372,random,292673
373,fixed,293033
373,random,294456
374,fixed,293196
374,random,293215
375,fixed,294056
375,random,292348
376,fixed,292677
376,random,294204
377,fixed,292790
377,random,292363
378,fixed,292601
378,random,294251
379,fixed,293586
379,random,293264
380,fixed,294314
380,random,292512
381,fixed,292297
381,random,292055
382,fixed,294410
382,random,292877
383,fixed,292551
383,random,294035
384,fixed,293147
384,random,293058
385,fixed,294391
385,random,292829
386,fixed,292772
386,random,292977
387,fixed,293988
387,random,292602
388,fixed,293146
388,random,293970
389,fixed,292337
389,random,292578
390,fixed,292860
390,random,294027
391,fixed,292968
391,random,292452
392,fixed,293797
392,random,292545
393,fixed,328545
393,random,294724
394,fixed,292731
394,random,293052
395,fixed,293458
395,random,294100
396,fixed,292736
396,random,292825
397,fixed,294113
397,random,293254
398,fixed,293278
398,random,293296
399,fixed,293961
399,random,293119
400,fixed,293170
400,random,294320
401,fixed,292963
401,random,292791
402,fixed,294166
402,random,293115
403,fixed,293258
403,random,293329
404,fixed,294197
404,random,292859
405,fixed,292530
405,random,293714
406,fixed,293072
406,random,293243
407,fixed,293306
407,random,294575
408,fixed,293019
408,random,293133
409,fixed,294603
409,random,292618
410,fixed,292879
410,random,294025
411,fixed,293176
411,random,293611
412,fixed,293416
412,random,294236
413,fixed,293590
413,random,293874
414,fixed,294422
414,random,292829
415,fixed,293309
415,random,292200
416,fixed,293965
416,random,293526
417,fixed,293600
417,random,294547
418,fixed,292679
418,random,293154
419,fixed,294032
419,random,292861
420,fixed,292603
420,random,292792
421,fixed,293929
421,random,293132
422,fixed,311557
422,random,297809
423,fixed,293294
423,random,294143
424,fixed,293347
424,random,294059
425,fixed,293061
425,random,292708
426,fixed,294113
426,random,293080
427,fixed,293199
427,random,294603
428,fixed,293013
428,random,293702
429,fixed,293336
429,random,293997
430,fixed,292742
430,random,292497
431,fixed,294301
431,random,293081
432,fixed,292986
432,random,293174
433,fixed,294238
433,random,293298
434,fixed,456397
434,random,292895
435,fixed,293081
435,random,292924
436,fixed,301216
436,random,292677
437,fixed,292400
437,random,294550
438,fixed,293304
438,random,292980
439,fixed,292994
439,random,293846
440,fixed,292406
440,random,292470
441,fixed,293870
441,random,293487
442,fixed,293245
442,random,294511
443,fixed,293189
443,random,293560
444,fixed,293206
444,random,294052
445,fixed,292589
445,random,292857
446,fixed,294046
446,random,293836
447,fixed,293438
447,random,293262
448,fixed,294283
448,random,293322
449,fixed,313151
449,random,295112
450,fixed,292618
450,random,293183
451,fixed,294031
451,random,293035
452,fixed,293034
452,random,293210
453,fixed,477164
453,random,292931
454,fixed,329078
454,random,292977
455,fixed,293117
455,random,358840
456,fixed,294602
456,random,311612
457,fixed,293428
457,random,294797
458,fixed,292537
458,random,292805
459,fixed,294245
459,random,292970
460,fixed,293601
460,random,293423
461,fixed,294119
461,random,292767
462,fixed,292918
462,random,294119
463,fixed,293097
463,random,292813
464,fixed,294305
464,random,293349
465,fixed,293511
465,random,293654
466,fixed,294156
466,random,359389
467,fixed,293166
467,random,312488
468,fixed,293488
468,random,293327
469,fixed,294514
469,random,293052
470,fixed,293096
470,random,293042
471,fixed,294831
471,random,293031
472,fixed,293087
472,random,294496
473,fixed,293128
473,random,293256
474,fixed,293606
474,random,293790
475,fixed,292593
475,random,292980
476,fixed,294196
476,random,293024
477,fixed,293048
477,random,313678
478,fixed,293174
478,random,308161
479,fixed,300509
479,random,292706
480,fixed,292340
480,random,292832
481,fixed,294916
481,random,293231
482,fixed,292877
482,random,295100
483,fixed,293576
483,random,293403
484,fixed,292909
484,random,293924
485,fixed,292498
485,random,292641
486,fixed,293921
486,random,293333
487,fixed,293312
487,random,294195
488,fixed,293092
488,random,292990
489,fixed,293275
489,random,293855
490,fixed,358400
490,random,292343
491,fixed,311974
491,random,293361
492,fixed,293193
492,random,295023
493,fixed,292627
493,random,293499
494,fixed,292878
494,random,294492
495,fixed,293180
495,random,293065
496,fixed,294412
496,random,293742
497,fixed,292930
497,random,292989
498,fixed,294475
498,random,292971
499,fixed,292618
499,random,293808
500,fixed,293036
500,random,359122
501,fixed,294483
501,random,293344
502,fixed,310577
502,random,294762
503,fixed,293370
503,random,293517
504,fixed,293143
504,random,313005
505,fixed,293185
505,random,293157
506,fixed,297580
506,random,293755
507,fixed,293527
507,random,293431
508,fixed,295644
508,random,293002
509,fixed,293296
509,random,293831
510,fixed,292304
510,random,292969
511,fixed,293922
511,random,292544
