run,t_stat,p_value,cohens_d,fixed_mean_ns,random_mean_ns,fixed_std_ns,random_std_ns,significant,negligible
247,-1.311912,0.18956691,-0.018553,293177.77,293210.93,1425.53,2087.01,no,yes
248,0.100949,0.91959200,0.001428,293577.47,293570.32,4801.78,5200.95,no,yes
249,0.220020,0.82585777,0.003112,294040.35,294036.38,1277.24,1273.51,no,yes
250,-0.345455,0.72975640,-0.004885,293476.14,293493.06,3031.15,3849.04,no,yes
251,-1.895258,0.05807273,-0.026803,293326.06,293352.28,937.91,1017.22,no,yes
252,-0.744420,0.45663195,-0.010528,293291.29,293318.57,2126.98,2984.39,no,yes
253,-0.106209,0.91541752,-0.001502,293409.64,293412.16,1673.61,1692.46,no,yes
254,0.361516,0.71771747,0.005113,293178.07,293169.09,1953.16,1534.89,no,yes
255,0.138263,0.89003365,0.001955,293789.89,293778.07,6144.44,5946.88,no,yes
256,1.872176,0.06120615,0.026477,293549.55,293475.50,3753.03,1247.98,no,yes
257,-0.076894,0.93870869,-0.001087,293325.91,293326.93,943.38,938.46,no,yes
258,0.399980,0.68917589,0.005657,293595.48,293588.92,1181.12,1138.23,no,yes
259,0.239066,0.81105723,0.003381,293740.20,293719.49,6308.11,5933.07,no,yes
260,-0.300766,0.76359592,-0.004253,293373.62,293377.89,873.09,1119.46,no,yes
261,0.168999,0.86579884,0.002390,303263.17,303259.71,1522.30,1368.22,no,yes
262,0.013513,0.98921879,0.000191,293247.56,293246.93,3320.10,3276.30,no,yes
263,-0.258755,0.79582729,-0.003659,361859.92,361867.65,2019.58,2201.89,no,yes
264,-0.618527,0.53623609,-0.008747,308689.69,308701.25,1082.56,1522.69,no,yes
265,1.655701,0.09780075,0.023415,293605.46,293572.39,1675.10,1088.30,no,yes
266,1.704448,0.08831575,0.024105,293228.24,293198.11,1489.43,952.16,no,yes
267,1.263162,0.20654606,0.017864,293538.22,293479.53,3508.49,3045.69,no,yes
268,0.101977,0.91877596,0.001442,293435.37,293432.95,1799.22,1551.87,no,yes
