run,type,time_ns
565,random,426995
566,fixed,428993
566,random,424111
567,fixed,431292
567,random,367240
568,fixed,296120
568,random,295030
569,fixed,303959
569,random,295326
570,fixed,308912
570,random,428089
571,fixed,415452
571,random,420510
572,fixed,411133
572,random,413503
573,fixed,422475
573,random,426163
574,fixed,430122
574,random,428220
575,fixed,421908
575,random,422014
576,fixed,424475
576,random,439284
577,fixed,426207
577,random,438949
578,fixed,422406
578,random,429752
579,fixed,429852
579,random,434971
580,fixed,419009
580,random,421673
581,fixed,412410
581,random,424490
582,fixed,412074
582,random,417881
583,fixed,419638
583,random,432515
584,fixed,417923
584,random,433715
585,fixed,431076
585,random,399951
586,fixed,432496
586,random,429876
587,fixed,433502
587,random,427993
588,fixed,427899
588,random,427677
589,fixed,418345
589,random,431869
590,fixed,418009
590,random,413281
591,fixed,418793
591,random,418806
592,fixed,420778
592,random,422819
593,fixed,430819
593,random,424492
594,fixed,429940
594,random,426692
595,fixed,428407
595,random,422666
596,fixed,428440
596,random,428717
597,fixed,428505
597,random,418061
598,fixed,417099
598,random,422265
599,fixed,428720
599,random,426265
600,fixed,431169
600,random,423670
601,fixed,435457
601,random,443162
602,fixed,439574
602,random,444708
603,fixed,443811
603,random,444746
604,fixed,423341
604,random,435741
605,fixed,419790
605,random,403497
606,fixed,303854
606,random,295815
607,fixed,294372
607,random,300312
608,fixed,294848
608,random,295610
609,fixed,296670
609,random,295037
610,fixed,295040
610,random,295387
611,fixed,321349
611,random,295589
612,fixed,323511
612,random,365612
613,fixed,376156
613,random,346484
614,fixed,295561
614,random,294970
615,fixed,294970
615,random,300488
616,fixed,294809
616,random,295037
617,fixed,333543
617,random,358720
618,fixed,310000
618,random,304809
619,fixed,294434
619,random,295166
620,fixed,294668
620,random,301521
621,fixed,295127
621,random,295104
622,fixed,298740
622,random,295362
623,fixed,294880
623,random,298784
624,fixed,294802
624,random,295521
625,fixed,294533
625,random,300903
626,fixed,294665
626,random,295273
627,fixed,300154
627,random,295176
628,fixed,295001
628,random,300971
629,fixed,293728
629,random,295458
630,fixed,294830
630,random,299184
631,fixed,294667
631,random,295405
632,fixed,296515
632,random,295470
633,fixed,294373
633,random,297375
634,fixed,296790
634,random,294962
635,fixed,294790
635,random,300327
636,fixed,294254
636,random,295401
637,fixed,296740
637,random,295043
638,fixed,295016
638,random,295063
639,fixed,319601
639,random,405759
640,fixed,403438
640,random,350868
641,fixed,382771
641,random,340678
642,fixed,308528
642,random,300320
643,fixed,301652
643,random,295731
644,fixed,321856
644,random,361557
645,fixed,325524
645,random,295937
646,fixed,294339
646,random,302419
647,fixed,294696
647,random,302745
648,fixed,338217
648,random,315874
649,fixed,295610
649,random,301319
650,fixed,294797
650,random,295422
651,fixed,297602
651,random,294864
652,fixed,294657
652,random,294823
653,fixed,296661
653,random,294303
654,fixed,295172
654,random,299207
655,fixed,294966
655,random,295747
656,fixed,294250
656,random,300437
657,fixed,294380
657,random,294925
658,fixed,297283
658,random,295345
659,fixed,294823
659,random,299386
660,fixed,294767
660,random,295286
661,fixed,294437
661,random,296901
662,fixed,294999
662,random,294152
663,fixed,300044
663,random,295529
664,fixed,294986
664,random,299884
665,fixed,307249
665,random,402741
666,fixed,426293
666,random,420559
667,fixed,410219
667,random,424464
668,fixed,422336
668,random,426633
669,fixed,421655
669,random,428965
670,fixed,421512
670,random,435921
671,fixed,440891
671,random,426214
672,fixed,428167
672,random,419332
673,fixed,425267
673,random,434414
674,fixed,441375
674,random,439451
675,fixed,424198
675,random,421010
676,fixed,428658
676,random,430367
677,fixed,429185
677,random,425919
678,fixed,431653
678,random,435344
679,fixed,430107
679,random,429187
680,fixed,427601
680,random,434540
681,fixed,452981
681,random,430902
682,fixed,419207
682,random,439719
683,fixed,430135
683,random,434540
684,fixed,425615
684,random,430719
685,fixed,447705
685,random,422029
686,fixed,420342
686,random,423985
687,fixed,418363
687,random,427266
688,fixed,433102
688,random,426166
689,fixed,427049
689,random,431355
690,fixed,425957
690,random,430121
691,fixed,424701
691,random,425691
692,fixed,419413
692,random,423689
693,fixed,420940
693,random,428226
694,fixed,441681
694,random,416723
695,fixed,418827
695,random,433341
696,fixed,432278
696,random,431437
697,fixed,430941
697,random,432805
698,fixed,432750
698,random,436753
699,fixed,428392
699,random,425846
700,fixed,430879
700,random,432789
701,fixed,429103
701,random,427012
702,fixed,440294
702,random,314220
703,fixed,296113
703,random,294979
704,fixed,298783
704,random,321828
705,fixed,303687
705,random,300798
706,fixed,328055
706,random,373106
707,fixed,372053
707,random,297422
708,fixed,294291
708,random,312090
709,fixed,295322
709,random,294812
710,fixed,302370
710,random,295619
711,fixed,294361
711,random,295618
712,fixed,299125
712,random,295115
713,fixed,294928
713,random,298600
714,fixed,294099
714,random,294903
715,fixed,299711
715,random,294700
716,fixed,294513
716,random,294807
717,fixed,296918
717,random,295150
718,fixed,294481
718,random,299404
719,fixed,294802
719,random,295026
720,fixed,294595
720,random,298370
721,fixed,295254
721,random,294397
722,fixed,299159
722,random,294909
723,fixed,295225
723,random,300107
724,fixed,294764
724,random,294227
725,fixed,295321
725,random,424958
726,fixed,295742
726,random,294830
727,fixed,298610
727,random,294762
728,fixed,293954
728,random,298970
729,fixed,294758
729,random,295287
730,fixed,297938
730,random,294248
731,fixed,295092
731,random,295523
732,fixed,298700
732,random,295095
733,fixed,328148
733,random,300628
734,fixed,315107
734,random,358553
735,fixed,392310
735,random,328611
736,fixed,295509
736,random,301626
737,fixed,294746
737,random,294955
738,fixed,304874
738,random,295202
739,fixed,294846
739,random,295117
740,fixed,301815
740,random,295161
741,fixed,294861
741,random,300025
742,fixed,295204
742,random,294651
743,fixed,298043
743,random,295539
744,fixed,295285
744,random,294697
745,fixed,323190
745,random,298386
746,fixed,295100
746,random,305258
747,fixed,295665
747,random,294805
748,fixed,296936
748,random,295525
749,fixed,294531
749,random,295293
750,fixed,297089
750,random,295068
751,fixed,294767
751,random,297149
752,fixed,297113
752,random,295739
753,fixed,294458
753,random,300000
754,fixed,295395
754,random,294596
755,fixed,300062
755,random,294947
756,fixed,294329
756,random,297712
757,fixed,294928
757,random,294712
758,fixed,294760
758,random,297072
759,fixed,294698
759,random,294912
760,fixed,299282
760,random,295137
761,fixed,330077
761,random,311772
762,fixed,294383
762,random,351090
763,fixed,365361
763,random,392752
764,fixed,345285
764,random,333585
765,fixed,295269
765,random,294410
766,fixed,319266
766,random,358935
767,fixed,329208
767,random,305738
768,fixed,294965
768,random,295448
769,fixed,294883
769,random,300551
770,fixed,295000
770,random,294929
771,fixed,299898
771,random,295970
772,fixed,294654
772,random,297487
773,fixed,295284
773,random,295316
774,fixed,294570
774,random,297507
775,fixed,295112
775,random,294906
776,fixed,296715
776,random,295046
777,fixed,294993
777,random,295072
778,fixed,300328
778,random,295359
779,fixed,294555
779,random,297177
780,fixed,294804
780,random,295625
781,fixed,297588
781,random,294759
782,fixed,294238
782,random,295086
783,fixed,296637
783,random,294780
784,fixed,294402
784,random,299906
785,fixed,295554
785,random,295468
786,fixed,296661
786,random,294801
787,fixed,295410
787,random,319255
788,fixed,308195
788,random,295295
789,fixed,335991
789,random,370919
790,fixed,371919
790,random,350749
791,fixed,304529
791,random,295522
792,fixed,294881
792,random,300384
793,fixed,294559
793,random,331740
794,fixed,361878
794,random,318517
795,fixed,295378
795,random,302051
796,fixed,295388
796,random,295217
797,fixed,295038
797,random,299110
798,fixed,295014
798,random,295128
799,fixed,301656
799,random,295098
800,fixed,294758
800,random,300702
801,fixed,295580
801,random,294471
802,fixed,294526
802,random,297288
803,fixed,294907
803,random,295336
804,fixed,299454
804,random,294880
805,fixed,294810
805,random,295397
806,fixed,296383
806,random,295208
807,fixed,294973
807,random,296737
808,fixed,295167
808,random,295320
809,fixed,296913
809,random,295245
810,fixed,294646
810,random,295032
811,fixed,299657
811,random,295377
812,fixed,295005
812,random,299747
813,fixed,294981
813,random,295009
814,fixed,297327
814,random,295079
815,fixed,295136
815,random,308896
816,fixed,321994
816,random,295199
817,fixed,347660
817,random,376079
818,fixed,325591
818,random,297278
819,fixed,314210
819,random,295319
820,fixed,294810
820,random,300952
821,fixed,316106
821,random,366379
822,fixed,359118
822,random,297331
823,fixed,294250
823,random,305168
824,fixed,295220
824,random,295257
825,fixed,295184
825,random,300707
826,fixed,295600
826,random,294800
827,fixed,297760
827,random,294886
828,fixed,295146
828,random,296485
829,fixed,294669
829,random,295376
830,fixed,295096
830,random,297623
831,fixed,294733
831,random,295721
832,fixed,297060
832,random,295171
833,fixed,294049
833,random,295236
834,fixed,299542
834,random,295199
835,fixed,294409
835,random,297640
836,fixed,295028
836,random,294858
837,fixed,296571
837,random,295172
838,fixed,294855
838,random,295193
839,fixed,297366
839,random,295383
840,fixed,294933
840,random,299477
841,fixed,294897
841,random,295573
842,fixed,296058
842,random,332319
843,fixed,295047
843,random,345962
844,fixed,354342
844,random,332638
845,fixed,313212
845,random,308648
846,fixed,295638
846,random,295275
847,fixed,298927
847,random,295978
848,fixed,294407
848,random,319278
849,fixed,366814
849,random,350997
850,fixed,308839
850,random,296165
851,fixed,294822
851,random,295309
852,fixed,302797
852,random,295348
853,fixed,295017
853,random,302584
854,fixed,295286
854,random,295138
855,fixed,299879
855,random,295394
856,fixed,295203
856,random,294965
857,fixed,296966
857,random,295063
858,fixed,294217
858,random,297425
859,fixed,294510
859,random,294974
860,fixed,296718
860,random,294851
861,fixed,294633
861,random,294565
862,fixed,296416
862,random,294875
863,fixed,294885
863,random,300052
864,fixed,294604
864,random,294308
865,fixed,294871
865,random,297304
866,fixed,294514
866,random,295350
867,fixed,296520
867,random,294513
868,fixed,294036
868,random,297015
869,fixed,294655
869,random,294906
870,fixed,294353
870,random,333027
871,fixed,327384
871,random,295385
872,fixed,326008
